,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,quality,type
0,0.14006433883924244,2.115348779676192,-2.164515281109809,-0.6996994145429313,0.523880329540845,-1.069272434097559,-1.411143088074263,1.1009955923515855,1.7793035689719818,0.17794070085585617,-0.9691519876973714,-0.9044972765915381,red
1,0.44319875333190134,3.1852969589348783,-2.164515281109809,-0.5441354637278293,1.12073571520677,-0.2829045161357106,-0.8298387552986339,0.7637532080580745,-0.1537970746084047,0.9793894339331692,-0.6318330805694786,-0.9044972765915381,red
2,0.44319875333190134,2.471998172762421,-1.892671814245529,-0.6108057283628731,0.9579569736615178,-0.8445958861084595,-1.0588374318466092,0.8312016849167692,0.2203514370523133,0.7790272506638408,-0.6318330805694786,-0.9044972765915381,red
3,3.0198412765195055,-0.3811969719274078,1.641293254990111,-0.6996994145429313,0.49675053928330287,-0.7322576121139097,-0.9531457349783128,1.1684440692102802,-0.4032294157155519,0.3115154897020744,-0.6318330805694786,0.23226755011930122,red
5,0.14006433883924244,1.8775825176187066,-2.164515281109809,-0.7219228360879458,0.49675053928330287,-0.9569341601030094,-1.3054513912059669,1.1009955923515855,1.7793035689719818,0.17794070085585617,-0.9691519876973714,-0.9044972765915381,red
6,0.5189823569550667,1.5209331245324778,-1.756750080813389,-0.7663696791779749,0.33397179773805075,-0.8445958861084595,-0.9707610177896955,0.6288562543406475,0.4697837781594605,-0.48993324337523836,-0.9691519876973714,-0.9044972765915381,red
7,0.0642807352160772,1.8181409521043352,-2.164515281109809,-0.8552633653580332,0.22545263670788243,-0.8445958861084595,-1.6401417646222383,0.021819962612357406,1.031006545650543,-0.42314584895212926,-0.4631736270055329,1.3690323768301405,red
8,0.44319875333190134,1.4020499935037347,-2.028593547677669,-0.6774759929979167,0.4424909587682187,-1.1816107080921088,-1.6929876130563863,0.7637532080580745,0.8439322898201812,0.2447280952789649,-0.8848222609153986,1.3690323768301405,red
9,0.215847942462407,0.9265174693887637,0.28207592066871073,0.23368429034768032,0.38823137825313453,-0.7322576121139097,-0.2133038569002394,1.1009955923515855,0.7815742045433958,1.7808381670104823,-0.04152499309566718,-0.9044972765915381,red
10,-0.39042088652291157,1.4020499935037347,-1.6208283473812488,-0.7219228360879458,1.093605924949228,-0.8445958861084595,-0.8650693209213993,0.4602350621939106,0.3450676076058869,0.044365912009637194,-1.1378114412613187,-0.9044972765915381,red
